covidtrialID,measurementOMOPID
NCT04355793,4215562
NCT04355793,4313591
NCT04355793,4096101
NCT04466670,4285602
NCT04470739,4248584
NCT04378829,40761511
NCT04378829,4120014
NCT04378829,2212761
NCT04363528,4120014
NCT04437940,37311061
NCT04395872,42018939
NCT04336956,40484652
NCT04336956,3027941
NCT04384471,4075804
NCT04272710,4313591
NCT04272710,45770406
NCT04272710,4233883
NCT04430322,4120014
NCT04446104,37111521
NCT04445233,757681
NCT04445233,4056265
NCT04465981,40484652
NCT04337788,4157263
NCT04337788,4096101
NCT04466683,4313591
NCT04466683,4096101
NCT04465513,4245997
NCT04465513,4148615
NCT04465513,4055286
NCT04393142,4120014
NCT04445285,913915
NCT04445285,35936749
NCT04408326,42035945
NCT04460105,4120014
NCT04460105,4310328
NCT04460105,4096101
NCT04460105,4313591
NCT04333953,4120014
NCT04404192,42538362
NCT04404192,42538362
NCT04404192,44808806
NCT04404192,4055286
NCT04453488,4058632
NCT04414059,410346
NCT04414059,4209108
NCT04349982,4120014
NCT04349982,4308889
NCT04436484,4120014
NCT04436484,4196729
NCT04455958,4198678
NCT04455958,4148615
NCT04455958,434557
NCT04455958,4094657
NCT04455958,4189605
NCT04455958,3198682
NCT04455958,4041531
NCT04455958,4230543
NCT04455958,4013077
NCT04455958,4310343
NCT04455958,45889912
NCT04367142,4120014
NCT04461353,9394
NCT04461353,4292196
NCT04461353,4224504
NCT04461353,4055286
NCT04461353,19124906
NCT04476927,4120014
NCT04486729,4108457
NCT04464460,40218805
NCT04464460,4032479
NCT04464460,4245997
NCT04480632,42530746
NCT04483635,44786851
NCT04357977,37311061
NCT03808922,210185
NCT03808922,4055286
NCT03808922,36308424
NCT03852537,4081164
NCT03852537,4353936
NCT03852537,40218805
NCT04346940,40762522
NCT04193878,45771331
NCT04193878,4013251
NCT04193878,4096101
NCT04477668,4313591
NCT04477668,4353936
NCT04477668,4353936
NCT04475588,4120014
NCT04475588,4310328
NCT04475588,4353936
NCT04447781,4181663
NCT04447781,4172077
NCT04447781,528323
NCT04447781,4078242
NCT04447781,4157263
NCT04484545,4120014
NCT03305341,37311061
NCT03305341,4313591
NCT03305341,4096101
NCT03305341,4239408
NCT04485169,35923655
NCT04485169,4267414
NCT04485169,8715
NCT04485169,44803512
NCT04475601,37311061
NCT04409275,4120014
NCT04395599,4099605
NCT04482686,4245997
NCT04482686,913916
NCT04487210,4094448
NCT04349540,4120014
NCT04349540,4231519
NCT04476953,4120014
NCT03331445,4059226
NCT03331445,4310328
NCT04482621,4353936
NCT04482621,37311065
NCT04414319,40484652
NCT04358952,40484652
NCT04419870,37311061
NCT04419870,37111521
NCT04419870,4032479
NCT04479631,4099154
NCT04479631,4245997
NCT04405232,40479411
NCT04333875,1901781
NCT04333875,1002476
NCT03452774,4120014
NCT03452774,4336683
NCT03452774,3172721
NCT04406194,35936749
NCT04406194,4059235
NCT04406194,4245997
NCT04406194,4239408
NCT04406194,4126465
NCT04406194,415479
NCT04406194,4172077
NCT04406194,43532213
NCT04406194,4136121
NCT04406194,4336683
NCT04406194,4230543
NCT04406194,19136048
NCT04406194,4179018
NCT04406194,4263457
NCT04406194,4041531
NCT04406194,42109
NCT04406194,4246512
NCT04406194,40664888
NCT04400682,35936749
NCT04400682,4059235
NCT04400682,4245997
NCT04400682,4239408
NCT04400682,4126465
NCT04400682,415479
NCT04400682,4172077
NCT04400682,43532213
NCT04400682,4136121
NCT04400682,4336683
NCT04400682,4230543
NCT04400682,19136048
NCT04400682,4179018
NCT04400682,4263457
NCT04400682,4041531
NCT04400682,42109
NCT04400682,4246512
NCT04400682,40664888
NCT04433988,37311061
NCT04474496,42046226
NCT04383717,4120014
NCT04467086,36684829
NCT04397471,4308014
NCT04397471,762503
NCT04397471,4245997
NCT04397471,4094448
NCT04397471,4012371
NCT04262921,4120014
NCT02788903,45889912
NCT02788903,4245997
NCT04480411,4224504
NCT04484597,757681
NCT04479358,4253759
NCT04479358,40218805
NCT04479358,45879249
NCT04356144,4097616
NCT04481360,37311061
NCT04434144,4120014
NCT04434144,45879249
NCT04434144,4310328
NCT04473274,37395559
NCT04473274,4135664
NCT04480333,421471
NCT04480333,4055286
NCT04487951,4313591
NCT04487951,45771331
NCT04482387,4239582
NCT04447404,40484652
NCT04477642,35923655
NCT04477642,4096101
NCT04475107,4099154
NCT04475107,4310328
NCT04475107,4096101
NCT04483960,4239666
NCT04481685,528323
NCT04481685,4041162
NCT04481685,4120014
NCT04481685,4096101
NCT04481685,4042999
NCT04481685,4313591
NCT04481685,4159126
NCT04338841,4161294
NCT04487574,35942044
NCT04487574,4120014
NCT04487574,4313591
NCT04487574,3030067
NCT04487574,4139525
NCT04487574,45771331
NCT04487574,4094448
NCT04488471,41945274
NCT04488471,41945274
NCT04487886,4120014
NCT04487886,4313591
NCT04487886,4239408
NCT04487886,4233883
NCT04487886,45889912
NCT04487886,4267147
NCT04487886,4148615
NCT04487886,40487382
NCT04487886,4077504
NCT04487886,4041531
NCT04487886,4094657
NCT04487886,4189605
NCT04487886,45890528
NCT04487886,4055286
NCT04487886,4094448
NCT04487886,4296023
NCT04480424,4120014
NCT04480424,35923655
NCT04480424,3046863
NCT04480424,37311061
NCT04480424,2212333
NCT04480424,4121879
NCT04480424,439937
NCT04475991,4120014
NCT04475991,4245997
NCT04475991,4353936
NCT04475991,4321539
NCT04432350,37311061
NCT04432350,37311061
NCT04486482,37311061
NCT04486482,19025274
NCT04352556,35923655
NCT04476589,4304798
NCT04487444,4120014
NCT04487444,4096101
NCT04487444,40487382
NCT04486521,4120014
NCT04466800,4099605
NCT04466800,36685566
NCT04466800,437113
NCT04466800,37111521
NCT04466800,4245997
NCT04482699,45770406
NCT04482699,40484652
NCT04482699,9489
NCT04482699,4189605
NCT04482699,414638
NCT04473300,4233883
NCT04473300,4353713
NCT04477993,35936749
NCT04477993,4233883
NCT04441710,4285602
NCT04473690,4245997
NCT04473690,4074313
NCT04473690,3019263
NCT04473690,42937729
NCT04473690,4055286
NCT04485130,4120014
NCT04485130,4094448
NCT04483973,913915
NCT04483973,4096101
NCT04483973,4313591
NCT04441047,4167743
NCT04441047,4310343
NCT04441047,45889912
NCT04441047,2212643
NCT04441047,4039428
NCT04441047,4041531
NCT04441047,4189605
NCT04441047,42109
NCT04441047,4230543
NCT04441047,4245261
NCT04441047,4175016
NCT04414241,4057302
NCT04479540,4313591
NCT04479540,4326744
NCT04479540,4133775
NCT04479540,4120014
NCT04484493,35804595
NCT04319172,40493286
NCT04407000,35936749
NCT04407000,4059235
NCT04407000,4245997
NCT04407000,4239408
NCT04407000,4126465
NCT04407000,415479
NCT04407000,4172077
NCT04407000,43532213
NCT04407000,4136121
NCT04407000,4336683
NCT04407000,4230543
NCT04407000,19136048
NCT04407000,4179018
