covidtrialID,interventionID
NCT04473131,intervention_3
NCT04352465,intervention_542
NCT04474457,intervention_7
NCT04486313,intervention_18
NCT04486313,intervention_74
NCT04348448,intervention_543
NCT04483908,intervention_546
NCT04483908,intervention_547
NCT04483908,intervention_141
NCT04483908,intervention_548
NCT04391920,intervention_544
NCT04427566,intervention_140
NCT04432766,intervention_545
NCT04382586,intervention_578
NCT04382586,intervention_579
NCT04429711,intervention_138
NCT04347954,intervention_559
NCT04347954,intervention_560
NCT04347954,intervention_561
NCT04536090,intervention_2664
NCT04307693,intervention_13
NCT04307693,intervention_0
NCT04344236,intervention_549
NCT04344236,intervention_550
NCT04344236,intervention_551
NCT04385849,intervention_553
NCT04385849,intervention_75
NCT04400461,intervention_552
NCT04467047,intervention_580
NCT04363814,intervention_554
NCT04397562,intervention_555
NCT04345692,intervention_0
NCT04364763,intervention_557
NCT04364763,intervention_558
NCT04433910,intervention_556
NCT04411628,intervention_139
NCT04397718,intervention_997
NCT04397718,intervention_75
NCT04331899,intervention_76
NCT04362332,intervention_142
NCT04362332,intervention_0
NCT04362332,intervention_562
NCT04341506,intervention_566
NCT04323631,intervention_0
NCT04323631,intervention_563
NCT04434131,intervention_24
NCT04427501,intervention_139
NCT04427501,intervention_2665
NCT04331834,intervention_0
NCT04331834,intervention_10
NCT04371926,intervention_0
NCT04386252,intervention_564
NCT04465474,intervention_565
NCT04313322,intervention_584
NCT04542850,intervention_2667
NCT04501952,intervention_9
NCT04501952,intervention_2666
NCT04313023,intervention_143
NCT04336254,intervention_567
NCT04336254,intervention_568
NCT04466280,intervention_0
NCT04466280,intervention_569
NCT04466280,intervention_570
NCT04456595,intervention_571
NCT04332094,intervention_5
NCT04332094,intervention_0
NCT04332094,intervention_1
NCT04292899,intervention_9
NCT04292899,intervention_11
NCT04481633,intervention_572
NCT04481633,intervention_573
NCT04385264,intervention_0
NCT04385264,intervention_574
NCT04370782,intervention_0
NCT04370782,intervention_1
NCT04370782,intervention_575
NCT04370782,intervention_49
NCT04539262,intervention_9
NCT04312997,intervention_143
NCT04334980,intervention_576
NCT04377711,intervention_144
NCT04348409,intervention_577
NCT04353518,intervention_77
NCT04360551,intervention_581
NCT04343989,intervention_582
NCT04343989,intervention_583
NCT04488081,intervention_9
NCT04488081,intervention_586
NCT04488081,intervention_587
NCT04488081,intervention_588
NCT04488081,intervention_589
NCT04421404,intervention_594
NCT04348435,intervention_145
NCT04348435,intervention_10
NCT04460183,intervention_585
NCT04329572,intervention_0
NCT04329572,intervention_146
NCT04308317,intervention_595
NCT04431453,intervention_9
NCT04292730,intervention_9
NCT04292730,intervention_11
NCT04445935,intervention_597
NCT04445935,intervention_33
NCT04399317,intervention_599
NCT04421625,intervention_596
NCT04428021,intervention_591
NCT04428021,intervention_592
NCT04428021,intervention_593
NCT04463264,intervention_18
NCT04484597,intervention_600
NCT04345523,intervention_598
NCT04345523,intervention_11
NCT04542967,intervention_2668
NCT04426084,intervention_601
NCT04426084,intervention_602
NCT04426084,intervention_603
NCT04426084,intervention_604
NCT04426084,intervention_605
NCT04395391,intervention_147
NCT04374279,intervention_608
NCT04359992,intervention_606
NCT04379479,intervention_610
NCT04379479,intervention_611
NCT04371965,intervention_38
NCT04381962,intervention_607
NCT04473170,intervention_612
NCT04473170,intervention_613
NCT04346615,intervention_2669
NCT04482699,intervention_614
NCT04448119,intervention_7
NCT04448119,intervention_618
NCT04491292,intervention_78
NCT04343976,intervention_620
NCT04482647,intervention_615
NCT04482647,intervention_616
NCT04482647,intervention_148
NCT04482647,intervention_78
NCT04482647,intervention_617
NCT04537117,intervention_2670
NCT04312464,intervention_624
NCT04534790,intervention_1278
NCT04363866,intervention_0
NCT04382625,intervention_0
NCT04427098,intervention_22
NCT04427098,intervention_22
NCT04389411,intervention_619
NCT04408209,intervention_621
NCT04508777,intervention_2671
NCT04347369,intervention_79
NCT04521010,intervention_257
NCT04381858,intervention_625
NCT04381858,intervention_149
NCT04371822,intervention_622
NCT04371822,intervention_623
NCT04461925,intervention_626
NCT04461925,intervention_627
NCT04461925,intervention_150
NCT04461925,intervention_628
NCT04346355,intervention_5
NCT04445415,intervention_630
NCT04353596,intervention_635
NCT04394117,intervention_637
NCT04305106,intervention_631
NCT04460105,intervention_632
NCT04541485,intervention_270
NCT04417335,intervention_50
NCT04244591,intervention_634
NCT04320615,intervention_151
NCT04336956,intervention_636
NCT04407130,intervention_638
NCT04407130,intervention_639
NCT04372186,intervention_5
NCT04347070,intervention_645
NCT04386616,intervention_640
NCT04386616,intervention_641
NCT04386616,intervention_642
NCT04386616,intervention_643
NCT04530435,intervention_2672
NCT04534478,intervention_72
NCT04363736,intervention_644
NCT04472494,intervention_651
NCT04329650,intervention_130
NCT04329650,intervention_14
NCT04417257,intervention_648
NCT04417257,intervention_68
NCT04455815,intervention_649
NCT04331470,intervention_646
NCT04331470,intervention_647
NCT04402892,intervention_656
NCT04402892,intervention_657
NCT04355884,intervention_650
NCT04273529,intervention_152
NCT04345679,intervention_42
NCT04273581,intervention_152
NCT04409262,intervention_9
NCT04409262,intervention_5
NCT04358809,intervention_77
NCT04390503,intervention_154
NCT04390503,intervention_659
NCT04374032,intervention_652
NCT04374032,intervention_653
NCT04377464,intervention_658
NCT04344925,intervention_654
NCT04344925,intervention_655
NCT04328441,intervention_153
NCT04542421,intervention_2673
NCT04487210,intervention_1248
NCT04425460,intervention_7
NCT04315896,intervention_0
NCT04315896,intervention_4
NCT04428268,intervention_661
NCT04386109,intervention_662
NCT04354870,intervention_0
NCT04342221,intervention_0
NCT04411680,intervention_65
NCT04411680,intervention_11
NCT04449380,intervention_128
NCT04325061,intervention_51
NCT04368000,intervention_680
NCT04368000,intervention_681
NCT04355533,intervention_664
NCT04355533,intervention_665
NCT04355533,intervention_666
NCT04355533,intervention_667
NCT04355533,intervention_668
NCT04460690,intervention_672
NCT04528667,intervention_2674
NCT04414098,intervention_669
NCT04382729,intervention_670
NCT04382729,intervention_671
NCT04476888,intervention_80
NCT04476888,intervention_684
NCT04376996,intervention_682
NCT04476953,intervention_747
NCT04539626,intervention_2675
NCT04445285,intervention_686
NCT04445285,intervention_687
NCT04335201,intervention_685
NCT04356560,intervention_683
NCT04498325,intervention_2676
NCT04498325,intervention_2677
NCT04498325,intervention_2678
NCT04498325,intervention_2679
NCT04498325,intervention_2680
NCT04350476,intervention_688
NCT04531748,intervention_2681
NCT04531748,intervention_114
NCT04413838,intervention_81
NCT04413838,intervention_689
NCT04368728,intervention_155
NCT04368728,intervention_156
NCT04527562,intervention_23
NCT04463433,intervention_691
NCT04463433,intervention_692
NCT04425889,intervention_693
NCT04466657,intervention_694
NCT04461340,intervention_134
NCT04510623,intervention_2682
NCT04366960,intervention_22
NCT04490811,intervention_2683
NCT04385017,intervention_695
NCT04280588,intervention_696
NCT04393558,intervention_699
NCT04540406,intervention_2684
NCT04540406,intervention_2685
NCT04343248,intervention_18
NCT04343248,intervention_74
NCT04389554,intervention_700
NCT04382651,intervention_698
NCT04382651,intervention_122
NCT04523090,intervention_18
NCT04367805,intervention_701
NCT04448743,intervention_25
NCT04429724,intervention_697
NCT04359680,intervention_18
NCT04359680,intervention_74
NCT04473690,intervention_703
NCT04473690,intervention_704
NCT04486482,intervention_157
NCT04486482,intervention_158
NCT04530474,intervention_1515
NCT04357535,intervention_702
NCT04551547,intervention_710
NCT04551547,intervention_711
NCT04551547,intervention_713
NCT04436471,intervention_709
NCT04497610,intervention_2686
NCT04377815,intervention_722
NCT04420182,intervention_714
NCT04412538,intervention_159
NCT04412538,intervention_705
NCT04412538,intervention_160
NCT04412538,intervention_706
NCT04412538,intervention_160
NCT04412538,intervention_707
NCT04412538,intervention_161
NCT04412538,intervention_708
NCT04374084,intervention_725
NCT04426344,intervention_724
NCT04375761,intervention_736
NCT04375761,intervention_737
NCT04475601,intervention_726
NCT04410107,intervention_731
NCT04410107,intervention_732
NCT04410107,intervention_733
NCT04410107,intervention_734
NCT04410107,intervention_735
NCT04435808,intervention_0
NCT04273646,intervention_35
NCT04459286,intervention_738
NCT04414124,intervention_157
NCT04414124,intervention_158
NCT04331600,intervention_61
NCT04331600,intervention_52
NCT04470609,intervention_159
NCT04470609,intervention_160
NCT04470609,intervention_160
NCT04470609,intervention_161
NCT04513158,intervention_2
NCT04383574,intervention_710
NCT04383574,intervention_711
NCT04383574,intervention_712
NCT04383574,intervention_713
NCT04352608,intervention_715
NCT04352608,intervention_716
NCT04352608,intervention_717
NCT04352608,intervention_718
NCT04352608,intervention_719
NCT04352608,intervention_720
NCT04338074,intervention_721
NCT04338074,intervention_4
NCT04337359,intervention_16
NCT04379154,intervention_723
NCT04332107,intervention_1
NCT04332107,intervention_10
NCT04344457,intervention_0
NCT04344457,intervention_727
NCT04344457,intervention_728
NCT04346017,intervention_729
NCT04346017,intervention_730
NCT04451174,intervention_72
NCT04345991,intervention_752
NCT04356534,intervention_753
NCT04356534,intervention_165
NCT04444596,intervention_750
NCT04438239,intervention_751
NCT04458519,intervention_743
NCT04458519,intervention_162
NCT04343742,intervention_742
NCT04342182,intervention_2
NCT04500418,intervention_2687
NCT04347174,intervention_77
NCT04347174,intervention_744
NCT04409522,intervention_114
NCT04409522,intervention_745
NCT04508972,intervention_2688
NCT04360980,intervention_69
NCT04511650,intervention_2690
NCT04511650,intervention_2691
NCT04468256,intervention_757
NCT04512118,intervention_2689
NCT04336774,intervention_746
NCT04393246,intervention_163
NCT04393246,intervention_748
NCT04393246,intervention_749
NCT04420741,intervention_760
NCT04420741,intervention_761
NCT04382794,intervention_759
NCT04334044,intervention_166
NCT04427345,intervention_758
NCT04365816,intervention_164
NCT04403828,intervention_12
NCT04443881,intervention_754
NCT04363060,intervention_755
NCT04363060,intervention_756
NCT04545047,intervention_17
NCT04510233,intervention_2692
NCT04510233,intervention_2693
NCT04365127,intervention_763
NCT04328493,intervention_61
NCT04449965,intervention_38
NCT04447131,intervention_766
NCT04504240,intervention_2694
NCT04372017,intervention_0
NCT04372017,intervention_19
NCT04519424,intervention_2695
NCT04469179,intervention_168
NCT04469179,intervention_169
NCT04331106,intervention_167
NCT04363203,intervention_0
NCT04363203,intervention_1
NCT04363203,intervention_4
NCT04521296,intervention_2696
NCT04343781,intervention_83
NCT04252664,intervention_9
NCT04252664,intervention_170
NCT04363489,intervention_762
NCT04363489,intervention_2697
NCT04363489,intervention_2698
NCT04349241,intervention_7
NCT04349241,intervention_767
NCT04371510,intervention_25
NCT04405492,intervention_769
NCT04405492,intervention_770
NCT04367402,intervention_765
NCT04492904,intervention_2699
NCT04378777,intervention_775
NCT04378777,intervention_776
NCT04545060,intervention_2700
NCT04478019,intervention_772
NCT04535674,intervention_2701
NCT04423003,intervention_768
NCT04341389,intervention_82
NCT04380532,intervention_773
NCT03891420,intervention_777
NCT04403581,intervention_6
NCT04486001,intervention_778
NCT04393805,intervention_84
NCT04412668,intervention_779
NCT04412668,intervention_780
NCT04537949,intervention_690
NCT04346628,intervention_7
NCT04346628,intervention_782
NCT04470531,intervention_785
NCT04394208,intervention_781
NCT04333472,intervention_784
NCT04384250,intervention_783
NCT04476706,intervention_172
NCT04358068,intervention_0
NCT04358068,intervention_787
NCT04358068,intervention_788
NCT04358068,intervention_789
NCT04559100,intervention_2942
NCT04437875,intervention_786
NCT04351152,intervention_790
NCT04351152,intervention_11
NCT04477655,intervention_171
NCT04477655,intervention_771
NCT04548908,intervention_2702
NCT04347889,intervention_0
NCT04347889,intervention_791
NCT04497987,intervention_139
NCT04366180,intervention_85
NCT04366180,intervention_792
NCT04364802,intervention_795
NCT04283461,intervention_174
NCT04389944,intervention_796
NCT04530422,intervention_2703
NCT04471766,intervention_798
NCT04471766,intervention_799
NCT04420299,intervention_800
NCT04411433,intervention_801
NCT04411433,intervention_802
NCT04411433,intervention_803
NCT04411433,intervention_804
NCT04411433,intervention_0
NCT04411433,intervention_805
NCT04490837,intervention_2704
NCT04487886,intervention_106
NCT04360122,intervention_793
NCT04360122,intervention_794
NCT04360122,intervention_173
NCT04480593,intervention_806
NCT04483960,intervention_0
NCT04483960,intervention_36
NCT04483960,intervention_2
NCT04427332,intervention_807
NCT04341116,intervention_797
NCT04513990,intervention_1062
NCT04513990,intervention_78
NCT04360876,intervention_175
NCT04360876,intervention_10
NCT04336332,intervention_808
NCT04336332,intervention_0
NCT04549376,intervention_2705
NCT04549376,intervention_2706
NCT04549376,intervention_2707
NCT04549376,intervention_2708
NCT04549376,intervention_2709
NCT04549376,intervention_2710
NCT04549376,intervention_2711
NCT04392089,intervention_811
NCT04357444,intervention_812
NCT04357444,intervention_813
NCT04350931,intervention_809
NCT04523181,intervention_2712
NCT04529499,intervention_2713
NCT04489446,intervention_1111
NCT04402840,intervention_177
NCT04358081,intervention_0
NCT04358081,intervention_819
NCT04362124,intervention_810
NCT04432103,intervention_817
NCT04432103,intervention_818
NCT04373044,intervention_21
NCT04373044,intervention_0
NCT04373044,intervention_176
NCT04476823,intervention_814
NCT04513184,intervention_2714
NCT04513184,intervention_2715
NCT04402866,intervention_178
NCT04452812,intervention_2
NCT04359667,intervention_821
NCT04408456,intervention_0
NCT04408456,intervention_179
NCT04527575,intervention_2716
NCT04527575,intervention_2717
NCT04355507,intervention_815
NCT04355507,intervention_816
NCT04456049,intervention_820
NCT04498247,intervention_2718
NCT04427267,intervention_822
NCT04516759,intervention_2719
NCT04347876,intervention_823
NCT04342897,intervention_824
NCT04279197,intervention_2720
NCT04279197,intervention_2721
NCT04279197,intervention_2722
NCT04501978,intervention_139
NCT04501978,intervention_9
NCT04412265,intervention_826
NCT04494867,intervention_2723
NCT04527458,intervention_2724
NCT04527458,intervention_2725
NCT04527458,intervention_2726
NCT04527458,intervention_2727
NCT04374526,intervention_17
NCT04539275,intervention_24
NCT04539275,intervention_2728
NCT04497779,intervention_1062
NCT04497779,intervention_2730
NCT04497779,intervention_2731
NCT04497779,intervention_78
NCT04303299,intervention_840
NCT04455308,intervention_181
NCT04382235,intervention_830
NCT04389476,intervention_829
NCT04510207,intervention_2732
NCT04346147,intervention_827
NCT04346147,intervention_13
NCT04346147,intervention_828
NCT04346147,intervention_180
NCT04526054,intervention_2733
NCT04526054,intervention_2734
NCT04526054,intervention_2735
NCT04365231,intervention_831
NCT04365231,intervention_832
NCT04508985,intervention_2736
