covidtrialID,procedureOMOPID
NCT04488081,4139525
NCT04488081,45768197
NCT03963622,19025274
NCT03963622,4052536
NCT04460599,4013636
NCT04483375,4144375
NCT04483375,42537894
NCT04483375,45766058
NCT04483375,429498
NCT04485429,4202832
NCT04485429,412012
NCT04477655,19025274
NCT04481646,45772392
NCT04482595,4029715
NCT04482595,4163951
NCT04475185,19025274
NCT04386876,8568
NCT04386876,4256632
NCT04479150,44803204
NCT04452318,4240345
NCT04452318,4144375
NCT04486313,4314777
NCT04486313,4028623
NCT04486313,4029715
NCT04486313,3002644
NCT04486313,3002644
NCT04486313,4144375
NCT04476992,4168133
NCT04476992,4202832
NCT04476992,19006871
NCT04476992,706637
NCT01306084,4161019
NCT02765191,4013636
NCT02765191,4328023
NCT02765191,36310218
NCT04476667,4327941
NCT04447833,45883113
NCT04447833,3701751
NCT04447833,4337138
NCT04475120,19025274
NCT03648372,4029715
NCT03648372,4220084
NCT03648372,19025274
NCT03648372,35807508
NCT03648372,4027509
NCT04480957,4019381
NCT04424212,4576757
NCT04480034,4058848
NCT04402970,19025274
NCT04331834,4163951
NCT04400032,36308029
NCT04400032,3701751
NCT04400032,4337138
NCT04348656,4202832
NCT04348656,4202832
NCT04348656,4182536
NCT04393038,4177224
NCT04393038,4273629
NCT04393038,4220084
NCT04391309,4202832
NCT04391309,19025274
NCT04391309,37018292
NCT04391309,4208341
NCT04336410,4144375
NCT04336410,4028623
NCT04336410,42538189
NCT04336410,4240345
NCT04268537,423913
NCT04268537,4029715
NCT04268537,4273629
NCT04268537,45882935
NCT04343144,4208341
NCT04343144,4028623
NCT04343144,19025274
NCT04343144,4052536
NCT04342156,35807403
NCT04342156,3002644
NCT04308317,706637
NCT04292899,19025274
NCT04292899,45878735
NCT04292899,45878735
NCT04342728,4300185
NCT04405271,412012
NCT04341688,4202832
NCT04341688,4029715
NCT04341688,4273629
NCT04335136,4337138
NCT04335136,36310721
NCT04335136,4324124
NCT04335136,4273629
NCT04335136,45875989
NCT04384549,4019381
NCT04363502,4027509
NCT04385849,36308581
NCT04419025,36308581
NCT04401475,19025274
NCT04401475,4052536
NCT04401475,4273629
NCT04401475,851
NCT04380961,19025274
NCT04380961,429709
NCT04380961,429709
NCT04380961,36308581
NCT04380961,19025274
NCT04380961,4324124
NCT04380961,412012
NCT04377997,4052536
NCT04377334,19025274
NCT04377334,4230911
NCT04395170,706637
NCT04395170,19025274
NCT04390191,4165535
NCT04390191,4033232
NCT04347174,706637
NCT04397692,4165535
NCT04397692,4202832
NCT04397692,19025274
NCT04397692,4168133
NCT04397692,4337138
NCT04283461,4144375
NCT04283461,36310793
NCT04283461,4144375
NCT04283461,4273629
NCT04283461,438028
NCT04283461,3186744
NCT04283461,45762562
NCT04283461,42538189
NCT04283461,4021326
NCT04283461,4021316
NCT04283461,4215685
NCT04283461,4127886
NCT04283461,429799
NCT04283461,4117038
NCT04283461,4027509
