covidtrialID,observationOMOPID
NCT04380519,4306655
NCT04358211,3050013
NCT04351724,46234712
NCT04351724,4271678
NCT04320615,4306655
NCT04358068,4195864
NCT04358068,43529712
NCT04403269,4014023
NCT04336462,4203148
NCT04411446,3050013
NCT04358406,4242424
NCT04358406,45879403
NCT04358406,3050013
NCT04355052,4274663
NCT04311697,4176766
NCT04311697,4162369
NCT04354831,2720513
NCT04410328,4176766
NCT04379271,2720513
NCT04331795,35921199
NCT04331795,440279
NCT04350320,4023221
NCT04353037,407634
NCT04429867,4048295
NCT04341038,3050013
NCT04366245,4306655
NCT04366245,4023221
NCT04326114,4298794
NCT04343768,4203148
NCT04424056,35921199
NCT04395144,4306655
NCT04380701,36310207
NCT04380701,4277918
NCT04380701,4293435
NCT04380701,40973
NCT04380701,4008008
NCT04338958,4241216
NCT04338958,45879403
NCT04273646,4048295
NCT04373707,46273058
NCT04366063,35921199
NCT04366063,4271678
NCT04334148,45884068
NCT04334148,4074187
NCT04377672,4046033
NCT04386616,4306655
NCT04392232,4035815
NCT04382391,440279
NCT04382391,4139934
NCT04433910,4306655
NCT04442230,4035815
NCT04442230,4274663
NCT04442230,4021661
NCT04315948,440925
NCT04368156,440279
NCT04368156,4176766
NCT04368156,4139934
NCT04412291,4048295
NCT04412291,4048295
NCT04412291,37311061
NCT04428008,45880431
NCT04428008,35921199
NCT04412668,4048295
NCT04416334,4480642
NCT04397523,40973
NCT04420299,46273058
NCT04340544,4223299
NCT04436471,35921199
NCT04397510,4306655
NCT04328441,407634
NCT04388826,4077868
NCT04368728,4274663
NCT04368728,45884068
NCT04414618,4035815
NCT04414618,4048295
NCT04381988,4241442
NCT04315987,4048295
NCT04370834,4306655
NCT04427501,4035815
NCT04412772,4306655
NCT04414631,4306655
NCT04346446,3050013
NCT04410510,403788
NCT04397497,4306655
NCT04350671,4203148
NCT04365231,35921199
NCT04374903,35921199
NCT04343651,45879403
NCT04345445,4306655
NCT04371523,45878027
NCT04409327,4298794
NCT04409327,4274663
NCT04333914,45879403
NCT04380688,4064901
NCT04390022,4043522
NCT04390022,4075199
NCT04441385,4048295
NCT04392713,35921199
NCT04252885,4203148
NCT04349592,35921199
NCT04346199,4064901
NCT04390217,2720513
NCT04348513,3050013
NCT04375046,4306655
NCT04428268,42575912
NCT04433013,35921199
NCT04365153,4059015
NCT04346329,4271678
NCT04346329,35921199
NCT04402866,4048295
NCT04402866,37311061
NCT04286503,2149843
NCT04362059,44804574
NCT04412018,3050013
NCT04412018,35921199
NCT04351152,2720513
NCT04340232,4048295
NCT04440007,4064901
NCT04353206,3050013
NCT04441918,35921199
NCT04441918,4271678
NCT04441918,4203148
NCT04437875,35921199
NCT04305106,4058419
NCT04324489,4048295
NCT04394169,4014023
NCT04413838,4274663
NCT04415151,45880431
NCT04415151,40768411
NCT04354441,4075635
NCT04383574,4043522
NCT04383574,3181556
NCT04383574,35921199
NCT04383574,4271678
NCT04383574,4203148
NCT04381364,4014023
NCT04381364,2720513
NCT04368377,45878027
NCT04368377,4059015
NCT04428801,4048295
NCT04428801,4203148
NCT04428801,35921199
NCT04376684,4306655
NCT04376684,440279
NCT04516915,2720513
NCT04516915,4219484
NCT04501978,4088275
NCT04497948,4306655
NCT04492358,4014023
NCT04532931,40757668
NCT04514302,4048295
NCT04525378,3050013
NCT04525378,4014023
NCT04525378,4306655
NCT04552951,4041508
NCT04518735,4191643
NCT04546841,35921199
NCT04546841,40973
NCT04542408,3050013
NCT04512079,3050013
NCT04512079,4139934
NCT04502472,4022061
NCT04502472,4035815
NCT04544176,4205408
NCT04500366,4043522
NCT04500366,4044711
NCT04500366,4046033
NCT04531748,4035815
NCT04519255,4060364
NCT04500067,439224
NCT04556513,4044711
NCT04527575,411881
NCT04527575,402267
NCT04527575,35921199
NCT04527575,4203148
NCT04530396,439224
NCT04530396,4203148
NCT04557241,4195864
NCT04540419,35921199
NCT04540419,40973
NCT04540419,4293435
NCT04517695,4048295
NCT04519372,4191643
NCT04524962,2720513
NCT04551339,45878027
NCT04551339,431025
NCT04540120,4223299
NCT04540120,4139934
NCT04523571,4277918
NCT04523571,4293435
NCT04523571,40973
NCT04523571,4043522
NCT04523571,4008008
NCT04504877,4225437
NCT04492501,3050013
NCT04549636,4274663
NCT04549636,431025
NCT04549636,4274663
NCT04515147,4203148
NCT04515147,4274663
NCT04515147,407634
NCT04514003,45885033
NCT04531254,4043522
NCT04531254,4075635
NCT04504734,4271678
NCT04537949,36310207
NCT04537949,4277918
NCT04537949,4293435
NCT04537949,40973
NCT04537949,4274663
NCT04537949,4225437
NCT04537949,4008008
NCT04510207,35921199
NCT04510207,4271678
NCT04498442,4144287
NCT04516564,40768411
NCT03226886,40769164
NCT04491240,4064901
NCT04491240,4306655
NCT04491240,3050013
NCT04547140,4223299
NCT04495803,45879403
NCT04508023,46273058
NCT04528901,45884367
NCT04536935,4251171
NCT04490239,4203148
NCT04533347,4035815
NCT04549376,42575912
NCT04534478,2720513
NCT04524052,4203148
NCT04491994,3050013
NCT04522089,435372
NCT04522089,4219336
NCT04522089,40973
NCT04526990,4203148
NCT04516941,21494884
NCT04516941,46273058
NCT04516941,4241216
NCT04538469,41932227
NCT04497636,4073752
NCT04513314,4203148
NCT04513314,4306655
NCT04555213,37311061
NCT04533048,4247398
NCT04533048,35921199
NCT04533048,4271678
NCT04533048,40757668
NCT04533048,4203148
NCT04551768,4322482
NCT04532372,35921199
NCT04508439,3050013
NCT04527471,4306655
NCT04527081,4271678
NCT04148430,3050013
NCT04555096,2720513
NCT04519320,3050013
NCT04527354,4271678
NCT04527354,35921199
NCT04518410,4195864
NCT04518410,45879403
NCT04490200,4298794
NCT04490200,4203148
NCT04494399,4203148
NCT04541680,35921199
NCT04541680,21494884
NCT04541680,4203148
NCT04528641,4293435
NCT04505098,4014023
NCT04508075,4144287
NCT04508075,35921199
NCT04508075,4271678
NCT04524663,4203148
NCT04548544,4074035
NCT04494646,4306655
NCT04495842,4298794
