covidtrialID,sponsorID
NCT04404179,sponsor_95
NCT04490174,sponsor_96
NCT04490174,sponsor_97
NCT04474483,sponsor_98
NCT04342689,sponsor_71
NCT04342689,sponsor_99
NCT04342689,sponsor_100
NCT04479358,sponsor_101
NCT04389658,sponsor_70
NCT04363346,sponsor_102
NCT04369820,sponsor_103
NCT04369820,sponsor_104
NCT04401423,sponsor_105
NCT04470557,sponsor_106
NCT04558372,sponsor_107
NCT04514302,sponsor_108
NCT04392141,sponsor_12
NCT04418284,sponsor_109
NCT04449718,sponsor_110
NCT04324489,sponsor_111
NCT04324489,sponsor_112
NCT04370262,sponsor_113
NCT04347993,sponsor_114
NCT04472572,sponsor_114
NCT04549831,sponsor_115
NCT04549831,sponsor_116
NCT04549831,sponsor_117
NCT04549831,sponsor_118
NCT04549831,sponsor_119
NCT04549831,sponsor_120
NCT04549831,sponsor_32
NCT04549831,sponsor_121
NCT04549831,sponsor_122
NCT04549831,sponsor_123
NCT04549831,sponsor_124
NCT04549831,sponsor_125
NCT04549831,sponsor_126
NCT04549831,sponsor_127
NCT04549831,sponsor_128
NCT04549831,sponsor_129
NCT04549831,sponsor_130
NCT04549831,sponsor_131
NCT04549831,sponsor_132
NCT04549831,sponsor_133
NCT04549831,sponsor_134
NCT04549831,sponsor_135
NCT04549831,sponsor_136
NCT04549831,sponsor_137
NCT04549831,sponsor_138
NCT04549831,sponsor_139
NCT04386759,sponsor_2
NCT04497324,sponsor_140
NCT04420468,sponsor_2
NCT04323228,sponsor_141
NCT04474496,sponsor_142
NCT04474496,sponsor_143
NCT04376788,sponsor_144
NCT04366882,sponsor_145
NCT04366882,sponsor_146
NCT04366882,sponsor_147
NCT04335123,sponsor_148
NCT04360356,sponsor_9
NCT04434248,sponsor_149
NCT04434248,sponsor_150
NCT04350593,sponsor_151
NCT04350593,sponsor_39
NCT04350593,sponsor_152
NCT04372979,sponsor_153
NCT04372979,sponsor_154
NCT04456413,sponsor_114
NCT04464395,sponsor_155
NCT04467151,sponsor_156
NCT04467151,sponsor_157
NCT04343755,sponsor_114
