covidtrialID,observationOMOPID
NCT04405739,46237515
NCT04330690,4048295
NCT04305457,45878027
NCT04404361,4035815
NCT04404361,4023221
NCT04366232,4035815
NCT04366232,851
NCT04366232,45884367
NCT04397328,4176766
NCT04302766,411881
NCT04431453,4478995
NCT04381377,4035815
NCT04333368,4048295
NCT04349098,4035815
NCT04349098,4023221
NCT04399889,4048295
NCT04399889,4165928
NCT04254874,1586096
NCT04345523,4035815
NCT04412330,45878027
NCT04380519,4035815
NCT04380519,46237515
NCT04351724,45878027
NCT04353674,40479411
NCT04374279,4229765
NCT04358068,4247398
NCT04327388,4048295
NCT04374487,4035815
NCT04355494,4048295
NCT04341116,45879403
NCT04432298,4035815
NCT04412486,45878027
NCT04346589,4253748
NCT04358406,4480578
NCT04358406,4046033
NCT04329832,40479411
NCT04313023,43021229
NCT04372368,45878027
NCT04410328,40479411
NCT04410328,4035815
NCT04367077,4048295
NCT04379271,45879403
NCT04379271,4088275
NCT04373044,4035815
NCT04411602,45878027
NCT04353037,407634
NCT04389710,45878027
NCT04424056,4126324
NCT04280705,4035815
NCT04421508,4035815
NCT04323228,45879403
NCT04380701,2149843
NCT04364802,45884068
NCT04415086,4037104
NCT04388683,4035815
NCT04369469,4048295
NCT04429529,45879403
NCT04429529,4247398
NCT04338802,35921199
NCT04338802,4271678
NCT04386616,4035815
NCT04401527,4048295
NCT04369365,3050013
NCT04326790,45878027
NCT04382391,4035815
NCT04433910,2720513
NCT04442230,4035815
NCT04428073,4202048
NCT04315948,4035815
NCT04368156,4035815
NCT04412291,4023221
NCT04438057,45878027
NCT04412668,4035815
NCT04315480,45879403
NCT04360122,407634
NCT04420988,45878027
NCT04347239,4035815
NCT04347239,46237515
NCT04257656,4035815
NCT04436471,4203148
NCT04411433,4035815
NCT04348877,45878027
NCT04348877,4242424
NCT04388826,4035815
NCT04341675,40768411
NCT04355767,45879403
NCT04363827,46237515
NCT04418531,4253748
NCT04429854,4035815
NCT04345601,4035815
NCT04345601,46237515
NCT04344444,4035815
NCT04321278,4014023
NCT04370834,4035815
NCT04355728,4048295
NCT04366271,4587713
NCT04404426,3050013
NCT04389359,4059015
NCT04438694,45878027
NCT04371640,45878027
NCT04408456,45878027
NCT04344600,4035815
NCT04332991,4035815
NCT04374903,4035815
NCT04378920,3050013
NCT04343651,4035815
NCT04365101,35921199
NCT04365101,42575912
NCT04363372,4035815
NCT04345445,4069676
NCT04421664,4069676
NCT04421664,46237515
NCT04421664,45884068
NCT04360876,4048295
