covidtrialID,locationID
NCT04407130,loc_45
NCT04372186,loc_0
NCT04372186,loc_4
NCT04372186,loc_71
NCT04372186,loc_15
NCT04372186,loc_27
NCT04372186,loc_16
NCT04347070,loc_1
NCT04386616,loc_0
NCT04386616,loc_4
NCT04386616,loc_15
NCT04386616,loc_2
NCT04363736,loc_0
NCT04472494,loc_0
NCT04329650,loc_2
NCT04359602,loc_0
NCT04417257,loc_0
NCT04417257,loc_6
NCT04455815,loc_5
NCT04331470,loc_40
NCT04404244,loc_14
NCT04355884,loc_35
NCT04374838,loc_14
NCT04409262,loc_0
NCT04409262,loc_4
NCT04409262,loc_7
NCT04390503,loc_0
NCT04374032,loc_76
NCT04344925,loc_6
NCT04376593,loc_0
NCT04328441,loc_13
NCT04373889,loc_12
NCT04542421,loc_0
NCT04487210,loc_48
NCT04425460,loc_10
NCT04425460,loc_41
NCT04386109,loc_5
NCT04354870,loc_0
NCT04342221,loc_8
NCT04411680,loc_0
NCT04449380,loc_3
NCT04325061,loc_2
NCT04368000,loc_0
NCT04460690,loc_0
NCT04483622,loc_14
NCT04382729,loc_3
NCT04476888,loc_25
NCT04376996,loc_62
NCT04339608,loc_17
NCT04476953,loc_0
NCT04445285,loc_0
NCT04356560,loc_11
NCT04498325,loc_0
NCT04475471,loc_22
NCT04475471,loc_76
NCT04475471,loc_72
NCT04475471,loc_17
NCT04475471,loc_40
NCT04475471,loc_73
NCT04368390,loc_1
NCT04368728,loc_0
NCT04368728,loc_22
NCT04368728,loc_4
NCT04368728,loc_18
NCT04401241,loc_68
NCT04527562,loc_45
NCT04463433,loc_10
NCT04466657,loc_42
NCT04346056,loc_14
NCT04461340,loc_14
NCT04510623,loc_6
NCT04381312,loc_1
NCT04366960,loc_3
NCT04490811,loc_1
NCT04385017,loc_1
NCT04558307,loc_0
NCT04280588,loc_10
NCT04393558,loc_0
NCT04540406,loc_0
NCT04343248,loc_0
NCT04389554,loc_18
NCT04382651,loc_0
NCT04523090,loc_16
NCT04367805,loc_1
NCT04429724,loc_1
NCT04423978,loc_3
NCT04359680,loc_0
