covidtrialID,drugOMOPID
NCT04487990,19011034
NCT04487990,4306137
NCT04483635,19009405
NCT04357977,35625639
NCT04357977,1792515
NCT04357977,4128938
NCT03808922,19052489
NCT03808922,40485002
NCT03808922,35807195
NCT03808922,4154694
NCT03808922,4253598
NCT03808922,35804629
NCT03808922,42900474
NCT03852537,4024511
NCT03852537,724049
NCT04353245,4242843
NCT04474444,4022675
NCT04474483,1301152
NCT04193878,4165029
NCT04193878,46270079
NCT04193878,1551099
NCT04193878,19025274
NCT04475588,722871
NCT04475588,36310369
NCT04475588,35917384
NCT04447781,429709
NCT04447781,4008249
NCT04447781,413266
NCT04447781,4242843
NCT04447781,40796107
NCT04447781,1551099
NCT04447781,42538092
NCT04447781,21601607
NCT04447781,724058
NCT04447781,19014878
NCT04447781,1310317
NCT04447781,19010482
NCT04447781,1305058
NCT04447781,4029802
NCT04447781,1119119
NCT04447781,1151789
NCT04447781,4241582
NCT04447781,4058388
NCT04447781,44074753
NCT03680274,4225937
NCT03680274,44807271
NCT04392115,762416
NCT04485169,41953453
NCT04475601,4290025
NCT04475601,1436678
NCT04475601,3186744
NCT04475601,1310149
NCT04475601,438028
NCT04482686,429709
NCT04482686,724358
NCT04482686,1777087
NCT04467112,1343916
NCT04487210,37311061
NCT04487210,413266
NCT04487210,19117912
NCT04487210,19071968
NCT04487210,45880431
NCT04487210,1119119
NCT04487210,1151789
NCT04487210,4163958
NCT04487210,4086082
NCT04487210,4049401
NCT04487210,431035
NCT04487210,44790447
NCT04349540,19025274
NCT04349540,4328107
NCT04476953,4194767
NCT04476953,4325686
NCT04476953,19052489
NCT04476953,4306333
NCT04476953,4309227
NCT04476953,35621782
NCT04476953,42539534
NCT04476953,19010482
NCT04476953,950637
NCT04476953,19034726
NCT04476953,35806052
NCT04476953,4225823
NCT03331445,35807195
NCT03331445,3580636
NCT03331445,1734104
NCT03331445,35625639
NCT04482621,4148887
NCT04482621,4242843
NCT04482621,4253603
NCT04482621,3199927
NCT04482621,4253598
NCT04482621,19038562
NCT04482621,19031397
NCT04482621,19011091
NCT04482621,19006871
NCT04482621,19052489
NCT04482621,19024728
NCT04278404,4076862
NCT04439825,21604686
NCT04439825,765629
NCT04480593,40217225
NCT04483908,4180039
NCT04061382,358034
NCT04406194,32765
NCT04406194,1912789
NCT04406194,36230666
NCT04406194,40768833
NCT04406194,723521
NCT04406194,36444848
NCT04406194,1367571
NCT04406194,42539385
NCT04406194,1134439
NCT04406194,4103594
NCT04406194,43533099
NCT04406194,36203427
NCT04406194,4126329
NCT04400682,32765
NCT04400682,1912789
NCT04400682,36230666
NCT04400682,40768833
