covidtrialID,conditionOMOPID
NCT04401150,405062
NCT04401150,4299535
NCT04401150,4170661
NCT04401150,20162
NCT04401150,37311061
NCT04411459,37311061
NCT04411459,255848
NCT04411459,32207
NCT04411459,381316
NCT04346277,4119499
NCT04346277,443207
NCT04346277,36308337
NCT04346277,319835
NCT04346277,45881081
NCT04346277,198185
NCT04346277,421254
NCT04346277,3186744
NCT04346277,4013106
NCT04346277,724049
NCT04346277,4299535
NCT04346277,43021965
NCT04346277,4144367
NCT04422613,255848
NCT04422613,37311061
NCT04422613,37310285
NCT04422613,100357
NCT04422613,321042
NCT04422613,4299535
NCT04391686,4299535
NCT04391686,45882797
NCT04391686,4058397
NCT04391686,44804805
NCT04391686,402176
NCT04431414,45882797
NCT04431414,37311061
NCT04424940,37311061
NCT04325048,432586
NCT04325048,440383
NCT04325048,418221
NCT04325048,303827
NCT04325048,4299535
NCT04325048,4306137
NCT04418557,37311061
NCT04418557,756039
NCT04418557,4299535
NCT04387799,4299535
NCT04387799,4188824
NCT04368338,4299535
NCT04368338,253796
NCT04368338,4244061
NCT04368338,4093742
NCT04368338,253506
NCT04368338,4195694
NCT04368338,4195694
NCT04368338,762964
NCT04392401,4299535
NCT04392401,4306137
NCT04323787,37311061
NCT04445961,440748
NCT04445961,45884896
NCT04445961,762964
NCT04445961,4029023
NCT04445961,4245975
NCT04445961,443207
NCT04445961,4168352
NCT04445961,4064161
NCT04445961,319835
NCT04445961,4173765
NCT04472611,4299535
NCT04472611,36717536
NCT04472611,43530807
NCT04472611,4245975
NCT04472611,443612
NCT04371471,4299535
NCT04460027,4299535
NCT04460027,4077028
NCT04460027,36685751
NCT04385108,4299535
NCT04385108,4185135
NCT04354766,4299535
NCT04354766,4306137
NCT04363333,198124
NCT04363333,4078213
NCT04346420,255573
NCT04346420,313023
NCT04346420,4164633
NCT04346420,43739
NCT04346420,4253634
NCT04346420,321882
NCT04346420,4179955
NCT04346420,432585
NCT04379453,40761356
NCT04379453,36308337
NCT04379453,43530807
NCT04379453,40770395
NCT04337190,4299535
NCT04337190,4185135
NCT04376905,4299535
NCT04376905,444247
NCT04376905,37110251
NCT04325646,313878
NCT04325646,703439
NCT04367792,37311061
NCT04367792,321042
NCT04367792,432795
NCT04466540,4266367
NCT04466540,3170072
NCT04466540,378416
NCT04466540,45880762
NCT04466540,314664
NCT04466540,4311437
NCT04466540,36712982
NCT04466540,194984
NCT04466540,46271022
NCT04466540,419264
NCT04466540,4299535
NCT04337346,36310428
NCT04359264,37311061
NCT04359264,37311061
NCT04332913,198185
NCT04332913,320073
NCT04332913,132797
NCT04332913,4160039
NCT04332913,37118653
NCT04332913,4263947
NCT04332913,201093
NCT04332913,4299535
NCT04332913,42964
NCT04332913,373503
NCT04332913,4329847
NCT04332913,316139
NCT04332913,4149321
NCT04332913,4134596
NCT04332913,4312326
NCT04332913,416023
NCT04332913,4139144
NCT04332913,138443
NCT04422561,4299535
NCT04422561,4306137
NCT04422561,43021965
NCT04379297,37311061
NCT04379297,437663
NCT04379297,100357
NCT04379297,4158346
NCT04379297,254761
NCT04379297,443783
NCT04327804,43529712
NCT04327804,4096682
NCT04327804,46237636
NCT04327804,37311061
NCT04456101,4185135
NCT04456101,4299535
NCT04456101,257907
NCT04456101,443432
NCT04456101,37311061
NCT04412369,4142985
NCT04412369,4253634
NCT04412369,4164696
NCT04412369,4096455
NCT04412369,46271022
NCT04412369,4329847
NCT04412369,313217
NCT04412369,195598
NCT04412369,441541
NCT04407572,436658
NCT04407572,43667
NCT04407572,37311061
NCT04407572,4299535
NCT04461379,703439
NCT04461379,4242843
NCT04461379,37311061
NCT04461379,703439
NCT04461379,4299535
NCT04461379,4185135
NCT04461379,437663
NCT04461379,43530807
NCT04461379,4141802
NCT04461379,4066212
NCT04461379,45881968
NCT04472793,703439
NCT04472793,37311061
NCT04394403,38003475
NCT04394403,36310428
NCT04394403,440925
NCT04394403,436073
NCT04394403,4128935
NCT04394403,42539544
NCT04394403,199074
NCT04394403,45880544
NCT04451239,372828
NCT04451239,380397
NCT04451239,139902
NCT04451239,140027
NCT04447235,4022772
NCT04447235,4105297
NCT04447235,4299535
NCT04447235,4185135
NCT04447235,409974
NCT04460196,4178614
NCT04456595,4299535
NCT04456595,4185135
NCT04456595,37311061
NCT04456595,703439
NCT04456595,443238
NCT04456595,4141769
NCT04456595,443392
NCT04456595,3045632
NCT04456595,436954
NCT04456595,40589905
NCT04456595,441202
NCT04456595,45768671
NCT04456595,4179955
NCT04456595,432585
NCT04456595,429016
NCT04456595,35807484
NCT04456595,4332151
NCT04456595,4297215
NCT04344925,4256228
NCT04344925,256018
NCT04344925,4029783
NCT04344925,45882797
NCT04344925,4291649
NCT04344925,4308329
NCT04431856,4192296
NCT04431856,4128935
NCT04431856,436665
NCT04431856,435783
NCT04431856,4041136
NCT04431856,436073
NCT04431856,415723
NCT04431856,4004672
NCT04431856,42869381
NCT04431856,4169278
NCT04431856,35805364
NCT04431856,4214703
NCT04337489,40757703
NCT04337489,321042
NCT04337489,36308213
NCT04335630,37311061
NCT04353596,4299535
NCT04353596,4185135
NCT04353596,316139
NCT04353596,421514
NCT04353596,44809027
NCT04353596,4195694
NCT04406688,43009039
NCT04406688,36310842
NCT04406688,4299535
NCT04406688,4185135
NCT04406688,415976
NCT04418544,4128123
NCT04418544,4177243
NCT04443673,4299535
NCT04433078,320651
NCT04433078,44783749
NCT04433078,703439
NCT04433078,4166225
NCT04433078,4164873
NCT04433078,4299535
NCT04433078,76685
NCT04433078,193688
NCT04433078,4299676
NCT04445935,4299535
NCT04445935,43530807
NCT04445935,4306267
NCT04442048,37311061
NCT04442048,4211974
NCT04442048,139902
NCT04442048,40589905
NCT04442048,411311
NCT04442048,706376
NCT04442048,4281232
NCT04442048,197494
NCT04442048,31751
NCT04442048,4299535
NCT04442048,4188824
NCT04442048,434621
NCT04418375,439777
NCT04418375,37311061
NCT04418375,703439
NCT04418375,43225
NCT04418375,2132844
NCT04379531,4299535
NCT04379531,36717536
NCT04379531,321042
NCT04379531,443392
NCT04423315,255848
NCT04418609,36308192
NCT04346953,443432
NCT04346953,373786
NCT04346953,4076873
NCT04346953,316866
NCT04346953,4169249
NCT04346953,4052648
