covidtrialID,procedureOMOPID
NCT04363346,4300757
NCT04363346,36308581
NCT04363346,4027509
NCT04370015,4222885
NCT04343092,4180938
NCT04329923,4302259
NCT04329923,4166438
NCT04329923,21104282
NCT04329923,405741
NCT04329923,376106
NCT04329923,4184832
NCT04329923,4280677
NCT04425733,45765577
NCT04425733,4027509
NCT04416048,4004519
NCT04416048,4029715
NCT04416048,3002644
NCT04416048,45882908
NCT04416048,45766058
NCT04416048,4215685
NCT04416048,4127886
NCT04416048,429799
NCT04416048,4117038
NCT04405076,4215685
NCT04405076,4117038
NCT04405076,429799
NCT04405076,4127886
NCT04405076,42538189
NCT04405076,4027509
NCT04405076,42537546
NCT04405076,45766058
NCT04405076,45882909
NCT04405076,4152025
NCT04405076,4027509
NCT04405076,4215685
NCT04324021,4165535
NCT04327401,4202832
NCT04327401,19025274
NCT04357457,3027941
NCT04364763,4314777
NCT04364763,4215685
NCT04255017,407374
NCT04322565,407374
NCT04322565,4180938
NCT04319900,4302259
NCT04355962,4300757
NCT04355962,407374
NCT04355962,19025274
NCT04423861,423913
NCT04423861,19025274
NCT04370782,4056837
NCT04370782,3027941
NCT04330638,36308581
NCT04330638,4139525
NCT04330638,19025274
NCT04330638,4139525
NCT04330638,4163872
NCT04330638,4300757
NCT04432324,4180938
NCT04432324,4163872
NCT04432324,4300757
NCT04432324,4300757
NCT04337918,4027509
NCT04335123,19025274
NCT04397757,4180938
NCT04397757,4163872
NCT04397757,4300757
NCT04397757,36308581
NCT04334460,4163872
NCT04334460,4300757
NCT04334460,36308581
NCT04334460,4138487
NCT04334460,4027509
NCT04348461,4202832
NCT04348461,19025274
NCT04363463,21492913
NCT04363463,4230166
NCT04356833,4202832
NCT04356833,4321705
NCT04356833,19025274
NCT04356833,4165535
NCT04356833,4139525
NCT04357444,4202832
NCT04357444,19025274
NCT04341727,4163951
NCT04341727,4027509
NCT04412538,4144375
NCT04389840,19025274
NCT04389840,4202832
NCT04389840,36308581
NCT04389840,4177224
NCT04424134,407374
NCT04382651,4163872
NCT04382651,4300757
NCT04382651,4300757
NCT04382651,4248661
NCT04382651,4044908
NCT04317092,423913
NCT04317092,19025274
NCT04317092,4202832
NCT04362137,4058335
NCT04362137,36308581
NCT04405908,4144375
NCT04405908,3002644
NCT04405908,4027509
NCT04405908,4240345
NCT04405908,4163951
NCT04350684,4300757
NCT04341584,35622675
NCT04341584,19025274
NCT04345614,4163872
NCT04345614,4300757
NCT04345614,3002644
NCT04351620,4163951
NCT04351620,4029715
NCT04331613,4300757
NCT04331613,3027941
NCT04331613,19025274
NCT04420741,19025274
NCT04375735,4202832
NCT04359810,36308581
NCT04359810,19025274
NCT04359810,4211641
NCT04359810,42537546
NCT04402944,4202832
NCT04402944,19025274
NCT04425460,4211641
NCT04425460,4027509
NCT04425460,429799
NCT04425460,4127886
NCT04425460,4306298
NCT04425460,4027509
NCT04425460,4027509
NCT04382729,19025274
NCT04390152,4202832
NCT04408209,4163872
NCT04408209,4058335
NCT04341285,45768197
NCT04341285,19025274
NCT04341285,19025274
NCT04415073,19025274
NCT04415073,36308581
NCT04415073,4163872
NCT04415073,4300757
NCT04415073,4202832
NCT04415073,4027509
NCT04381052,19025274
NCT04381052,42537546
NCT04381052,4027509
NCT04381052,4052187
NCT04381052,4298948
NCT04381052,45882909
NCT04381052,45882909
NCT04381052,4024744
NCT04359251,19025274
NCT04348695,42537546
NCT04335552,4163872
NCT04335552,4300757
NCT04335552,36308581
NCT04355364,4202832
NCT04355364,19025274
NCT04399798,4211641
NCT04399980,4027509
NCT04399980,4127886
NCT04399980,4023403
NCT04399980,4117038
NCT04426695,763194
NCT04426695,19025274
NCT04346615,36308581
NCT04346615,19025274
NCT04366791,4163872
NCT04366791,4300757
