covidtrialID,conditionOMOPID
NCT04368975,37311061
NCT04368975,756039
NCT04368975,4195694
NCT04368975,41970933
NCT04383444,703439
NCT04383444,4309345
NCT04383444,703439
NCT04383444,37311061
NCT04383444,756083
NCT04411563,703439
NCT04438239,37311061
NCT04438239,437663
NCT04438239,255848
NCT04438239,7796
NCT04428099,442077
NCT04428099,441838
NCT04428099,415228
NCT04428099,4105297
NCT04356586,37311061
NCT04356586,4037484
NCT04402918,4299535
NCT04402918,703439
NCT04402918,4299535
NCT04402918,441919
NCT04434417,703439
NCT04434417,437663
NCT04434417,4038519
NCT04434417,442752
NCT04434417,4223659
NCT04434417,4185711
NCT04434417,4158346
NCT04434417,255848
NCT04434417,439937
NCT04434417,703439
NCT04434417,443392
NCT04434417,4164116
NCT04434417,4142882
NCT04434417,44783749
NCT04434417,46235351
NCT04299711,37311061
NCT04427358,37311061
NCT04413045,4243056
NCT04413045,703439
NCT04445207,43225
NCT04445207,40483553
NCT04445207,37311061
NCT04445207,312437
NCT04445207,260936
NCT04445207,4256228
NCT04445207,196236
NCT04445207,196236
NCT04445207,4212484
NCT04374695,37311061
NCT04374695,37310285
NCT04374695,437663
NCT04374695,4319159
NCT04374695,437113
NCT04374695,442752
NCT04374695,254761
NCT04374695,312437
NCT04346927,37311061
NCT04350476,44783749
NCT04416256,35937882
NCT04323644,37311061
NCT04337359,703439
NCT04337359,37311061
NCT04337359,100357
NCT04337359,37397362
NCT04337359,312437
NCT04337359,314754
NCT04337359,438555
NCT04337359,321689
NCT04337359,377091
NCT04337359,435796
NCT04336787,4299535
NCT04351633,80502
NCT04333849,703439
NCT04467151,756044
NCT04467151,37311061
NCT04467151,43225
NCT04423289,37311061
NCT04274322,37311061
NCT04274322,37311061
NCT04274322,4025561
NCT04328454,4017171
NCT04328454,703439
NCT04328454,261326
NCT04379245,706376
NCT04371029,4076624
NCT04371029,37311061
NCT04371029,42574376
NCT04407494,37311061
NCT04407494,4309345
NCT04407494,4142947
NCT04469114,4130722
NCT04469114,37311061
NCT04469114,37311061
NCT04469114,255848
NCT04447144,4160039
NCT04447144,4299535
NCT04447144,4019513
NCT04447144,4186898
NCT04447144,46271022
NCT04447144,421254
NCT04447144,4170148
NCT04447144,4065287
NCT04447144,4185932
NCT04447144,4289933
NCT04447144,4153516
NCT04447144,36310676
NCT04447144,433736
NCT04447144,45881633
NCT04447144,37311061
NCT04452435,4112752
