covidtrialID,measurementOMOPID
NCT04479540,2212296
NCT04407000,37311061
NCT04407000,4126465
NCT04407000,37397755
NCT04407000,405732
NCT04407000,4057433
NCT04407000,431447
NCT04475302,434557
NCT04475302,4169154
NCT04480112,4169175
NCT04480112,42527935
NCT04395508,4061031
NCT04395508,2212296
NCT04395508,42739976
NCT04395508,4078242
NCT04473170,4078242
NCT04379284,434557
NCT04290858,409491
NCT04488575,4480642
NCT04488575,4336683
NCT04488575,4041531
NCT04488575,4094657
NCT04488575,4189605
NCT04444986,37311061
NCT04444986,4126465
NCT04444986,37397755
NCT04444986,405732
NCT04444986,4057433
NCT04444986,431447
NCT04481620,4313591
NCT04487691,42538088
NCT04487691,413384
NCT03891420,4114518
NCT03891420,4224504
NCT03891420,4310328
NCT03891420,4096101
NCT03891420,4313591
NCT03891420,4064473
NCT03891420,4480642
NCT03891420,4336683
NCT03891420,414638
NCT03891420,4189605
NCT04401033,4120014
NCT04401033,4099605
NCT04482712,35936749
NCT04482712,45890528
NCT04482712,4094657
NCT04482712,4189605
NCT04482712,4313591
NCT04482712,4096101
NCT04482712,4239408
NCT04477083,9394
NCT04476706,4148615
NCT04480138,37392316
NCT04480138,4313591
NCT04480138,4096101
NCT04480138,4120014
NCT04480138,4336683
NCT04480138,4008859
NCT04481633,37311061
NCT04481633,4015455
NCT03376854,42035945
NCT03376854,19025274
NCT03376854,4078771
NCT03376854,4039428
NCT03376854,4245997
NCT04478071,45889912
NCT04478071,4094657
NCT04478071,4189605
NCT04478071,4041531
NCT04478071,4230543
NCT04478071,409491
NCT04478071,4230165
NCT04478071,36310723
NCT04476719,37311061
NCT04476719,4126465
NCT04476719,37397755
NCT04476719,405732
NCT04476719,4057433
NCT04476719,431447
NCT04475068,4150345
NCT04475068,36683419
NCT04488081,37016292
NCT04488081,4244279
NCT03963622,4086587
NCT03963622,37016292
NCT03963622,4245997
NCT04483375,723479
NCT04483375,4265485
NCT04485429,4216826
NCT04485429,21601607
NCT04460651,19087063
NCT04482595,4322628
NCT04482595,4223299
NCT04482595,4216826
NCT04482595,44818701
NCT04475185,4057432
NCT04475185,40664854
NCT04386876,4126465
NCT04386876,37397755
NCT04386876,405732
NCT04386876,4057433
NCT04386876,431447
NCT04452318,37044592
NCT04452318,40218805
NCT04486313,4224504
NCT04486313,3010647
NCT04486313,4096101
NCT04486313,4081164
NCT04486313,4094448
NCT04343053,4213534
NCT04476992,4310328
NCT02765191,37018292
NCT04447833,37016292
NCT04447833,2212296
NCT04447833,45766326
NCT04447833,3027946
NCT03648372,9394
NCT03648372,4078242
NCT03648372,42537336
NCT03648372,528323
NCT03648372,4215562
NCT03648372,4042412
NCT03648372,4041878
NCT04480957,4172077
NCT04480957,4064473
NCT04480957,4078242
NCT04480957,4326744
NCT04474288,4161294
NCT04480034,4245997
NCT03042143,37016292
NCT03042143,434004
NCT04328285,703439
NCT04328285,4213477
NCT04328285,3029815
NCT04348383,43012761
NCT04331834,4133775
NCT04331834,4057304
NCT04331834,4189605
NCT04331834,414638
NCT04331834,4246053
NCT04331834,4055802
NCT04331834,4250175
NCT04400032,37016292
NCT04400032,8568
NCT04400032,36684937
NCT04438837,4323433
NCT04393038,4096101
NCT04393038,4120014
NCT04391309,4323433
NCT04391309,46271813
NCT04268537,4120445
NCT04268537,4081164
NCT04268537,4253759
NCT04292899,4041531
NCT04292899,4094657
NCT04292899,4189605
NCT04292899,2212296
NCT04292899,45766326
NCT04342728,409491
NCT04342728,4094448
NCT04405271,37111521
NCT04341688,4093836
NCT04329650,4148615
NCT04329650,4189605
NCT04329650,414638
NCT04329650,4039428
NCT04335136,4014007
NCT04335136,4042412
NCT04335136,37398711
NCT04384549,432588
NCT04384549,4041878
NCT04385849,4233883
NCT04385849,439937
NCT04385849,4121879
NCT04385849,4322628
NCT04385849,2212333
NCT04385849,43012761
NCT04385849,4055286
NCT04438980,4096101
NCT04438980,410346
NCT04438980,4233883
NCT04438980,45768444
NCT04438980,42741827
NCT04380961,4108582
NCT04380961,4065409
NCT04380961,403485
NCT04380961,4148615
NCT04380961,4267147
NCT04380961,4480642
NCT04380961,4336683
NCT04380961,45890528
NCT04380961,42050095
NCT04380961,37392316
NCT04380961,4245261
NCT04380961,4306239
NCT04380961,4175016
NCT04380961,4078242
NCT04380961,434557
NCT04377997,4405019
NCT04318015,409491
NCT04318015,4213477
NCT04377334,409491
NCT04398004,4148615
NCT04395170,4213477
NCT04347889,4216826
NCT04422275,40772093
NCT04347174,37392316
NCT04347174,4336683
NCT04354155,4267147
NCT04354155,4245261
NCT04354155,4094436
NCT04354155,4480642
NCT04354155,4336683
NCT04397692,409491
NCT04283461,409491
NCT04283461,4480642
NCT04283461,4336683
NCT04283461,528323
NCT04283461,4216067
NCT04283461,4078242
NCT04283461,4232336
NCT04408040,4245997
NCT04435184,4306576
NCT04344184,20162
NCT04352985,44809183
NCT04352985,4223299
NCT04352985,4323433
NCT04352985,4298431
NCT04352985,4267147
NCT04352985,4081164
NCT04352985,4099154
NCT04412252,46271813
NCT04412252,45889912
NCT04412252,4281995
NCT04412252,4148615
NCT04383613,42742412
NCT04383613,4165535
NCT04383613,4245997
NCT04275414,37016292
NCT04275414,4189605
NCT04275414,4480642
NCT04275414,4152194
NCT04275414,415479
NCT04275414,4223299
NCT04354389,4326744
NCT04354389,4041531
NCT04354389,4094657
NCT04354389,4189605
NCT04354389,42109
NCT04354389,4230543
NCT04355247,43012761
NCT04402203,3010647
NCT04402203,4094657
NCT04402203,4189605
NCT04402203,414638
NCT04402203,409491
NCT04343729,433446
NCT04370262,37392316
NCT04370262,2212296
NCT04370262,4148615
NCT04331470,4096101
NCT04344951,4189605
NCT04344951,4250175
NCT04391101,4120014
NCT04391101,4285602
NCT04341441,2212296
NCT04341441,45771331
